customer_id,last_tx_date,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment,location
C1011972,2016-09-26,36,7,16021.61,2,5,5,255,At Risk,KOLKATA
C1031651,2016-10-22,10,3,15950.14,4,4,5,445,Champions,CHENNAI
C1015323,2016-10-24,8,8,15861.01,5,5,5,555,Champions,LUCKNOW
C1024759,2016-09-25,37,7,15789.92,2,5,5,255,At Risk,MUMBAI
C1022625,2016-09-22,40,4,15724.45,2,5,5,255,At Risk,AHMEDABAD
C1001391,2016-10-08,24,3,15683.42,3,4,5,345,Loyal Customers,CHENNAI
C1038090,2016-10-22,10,3,15615.05,4,4,5,445,Champions,HYDERABAD
C1038178,2016-10-14,18,3,15614.98,4,4,5,445,Champions,MUMBAI
C1020829,2016-10-29,3,6,15599.28,5,5,5,555,Champions,NEW DELHI
C1026386,2016-09-13,49,2,15562.1,2,2,5,225,Low Value / Casual,BANGALORE
C1000693,2016-09-15,47,2,15518.28,2,2,5,225,Low Value / Casual,PUNE
C1029394,2016-08-30,63,3,15493.19,1,4,5,145,At Risk,PUNE
C1030743,2016-09-23,39,2,15482.02,2,3,5,235,At Risk,HYDERABAD
C1048732,2016-10-25,7,3,15461.29,5,4,5,545,Champions,HYDERABAD
C1039152,2016-10-10,22,4,15444.75,3,5,5,355,Loyal Customers,CHENNAI
C1020183,2016-10-25,7,4,15370.63,5,5,5,555,Champions,KOLKATA
C1011360,2016-08-31,62,2,15362.98,1,2,5,125,Low Value / Casual,HYDERABAD
C1035542,2016-10-04,28,5,15253.86,3,5,5,355,Loyal Customers,MUMBAI
C1010848,2016-10-24,8,3,15230.06,5,4,5,545,Champions,THANE
C1035013,2016-10-16,16,2,15183.24,4,3,5,435,Loyal Customers,GURGAON
C1010132,2016-10-28,4,5,15117.19,5,5,5,555,Champions,MUMBAI
C1009145,2016-10-25,7,1,15070.01,5,2,5,525,Big Spenders,MUMBAI
C1027534,2016-08-16,77,2,14976.86,1,2,5,125,Low Value / Casual,MUMBAI
C1046284,2016-10-10,22,4,14956.08,3,5,5,355,Loyal Customers,MUMBAI
C1048429,2016-10-28,4,2,14947.84,5,3,5,535,Loyal Customers,HYDERABAD
C1032885,2016-09-09,53,2,14921.88,2,2,5,225,Low Value / Casual,MUMBAI
C1030795,2016-10-19,13,3,14829.43,4,4,5,445,Champions,MUMBAI
C1024472,2016-10-14,18,4,14826.1,4,5,5,455,Champions,SURAT
C1035100,2016-10-18,14,5,14817.18,4,5,5,455,Champions,NOIDA
C1046207,2016-10-24,8,2,14813.04,5,3,5,535,Loyal Customers,BANGALORE
C1034929,2016-10-27,5,3,14793.38,5,5,5,555,Champions,PUNE
C1048776,2016-09-19,43,4,14675.75,2,5,5,255,At Risk,PATNA
C1024349,2016-10-29,3,5,14626.19,5,5,5,555,Champions,CHENNAI
C1040056,2016-10-13,19,4,14603.36,4,5,5,455,Champions,LUCKNOW
C1002989,2016-10-21,11,3,14599.16,4,4,5,445,Champions,NEW DELHI
C1047663,2016-10-16,16,3,14565.39,4,4,5,445,Champions,HYDERABAD
C1005735,2016-09-29,33,2,14550.79,3,3,5,335,Loyal Customers,BANGALORE
C1012389,2016-10-30,2,3,14542.63,5,5,5,555,Champions,AHMEDABAD
C1039541,2016-10-24,8,5,14495.02,5,5,5,555,Champions,NOIDA
C1035497,2016-10-19,13,4,14473.49,4,5,5,455,Champions,MUMBAI
C1018854,2016-10-06,26,2,14472.57,3,3,5,335,Loyal Customers,PUNE
C1000486,2016-10-23,9,4,14446.83,5,5,5,555,Champions,AHMEDABAD
C1029621,2016-10-06,26,3,14432.9,3,4,5,345,Loyal Customers,NOIDA
C1027612,2016-09-14,48,5,14394.87,2,5,5,255,At Risk,NEW DELHI
C1003635,2016-10-18,14,3,14386.81,4,4,5,445,Champions,BANGALORE
C1006385,2016-10-11,21,5,14314.82,3,5,5,355,Loyal Customers,BANGALORE
C1039696,2016-10-26,6,5,14310.47,5,5,5,555,Champions,NEW DELHI
C1034607,2016-10-17,15,2,14301.44,4,3,5,435,Loyal Customers,NEW DELHI
C1013373,2016-09-14,48,1,14296.42,2,1,5,215,Low Value / Casual,BANGALORE
C1032224,2016-10-25,7,5,14285.51,5,5,5,555,Champions,NOIDA
C1009661,2016-10-06,26,6,14266.19,3,5,5,355,Loyal Customers,LUCKNOW
C1015563,2016-09-20,42,3,14253.6,2,4,5,245,At Risk,AHMEDABAD
C1047744,2016-09-16,46,4,14245.55,2,5,5,255,At Risk,BANGALORE
C1009685,2016-10-11,21,3,14235.57,3,4,5,345,Loyal Customers,PUNE
C1030078,2016-10-10,22,3,14192.17,3,4,5,345,Loyal Customers,NEW DELHI
C1026744,2016-10-26,6,3,14190.63,5,4,5,545,Champions,BANGALORE
C1038776,2016-10-15,17,7,14174.11,4,5,5,455,Champions,PUNE
C1029772,2016-10-23,9,4,14156.95,5,5,5,555,Champions,PUNE
C1040095,2016-10-20,12,2,14142.65,4,3,5,435,Loyal Customers,MUMBAI
C1020547,2016-09-06,56,4,14134.99,1,5,5,155,At Risk,MUMBAI
C1032759,2016-09-19,43,4,14090.51,2,5,5,255,At Risk,BANGALORE
C1026475,2016-08-20,73,3,14080.05,1,4,5,145,At Risk,NOIDA
C1021153,2016-10-26,6,5,14036.95,5,5,5,555,Champions,KOLKATA
C1033155,2016-10-09,23,3,14016.25,3,4,5,345,Loyal Customers,THANE
C1038477,2016-10-23,9,4,13994.99,5,5,5,555,Champions,HYDERABAD
C1035031,2016-10-14,18,5,13993.25,4,5,5,455,Champions,AHMEDABAD
C1042236,2016-10-26,6,3,13992.26,5,4,5,545,Champions,MUMBAI
C1041613,2016-10-30,2,5,13992.21,5,5,5,555,Champions,MUMBAI
C1013554,2016-10-26,6,1,13953.94,5,2,5,525,Big Spenders,HYDERABAD
C1040226,2016-09-30,32,2,13906.18,3,3,5,335,Loyal Customers,NOIDA
C1037421,2016-10-24,8,4,13892.95,5,5,5,555,Champions,PUNE
C1048567,2016-09-27,35,4,13889.8,2,5,5,255,At Risk,CHENNAI
C1023774,2016-10-12,20,7,13879.88,4,5,5,455,Champions,BANGALORE
C1008442,2016-10-30,2,5,13827.72,5,5,5,555,Champions,NEW DELHI
C1016446,2016-10-18,14,5,13817.09,4,5,5,455,Champions,PUNE
C1009742,2016-08-29,64,6,13753.93,1,5,5,155,At Risk,HYDERABAD
C1000739,2016-10-27,5,3,13752.83,5,5,5,555,Champions,NEW DELHI
C1016719,2016-10-30,2,3,13734.61,5,5,5,555,Champions,KOLKATA
C1029258,2016-10-18,14,2,13698.22,4,3,5,435,Loyal Customers,PUNE
C1021378,2016-09-27,35,4,13687.63,2,5,5,255,At Risk,BANGALORE
C1031542,2016-10-14,18,4,13657.22,4,5,5,455,Champions,NEW DELHI
C1048288,2016-10-30,2,4,13649.5,5,5,5,555,Champions,KOLKATA
C1028727,2016-10-26,6,5,13626.26,5,5,5,555,Champions,BANGALORE
C1019736,2016-09-29,33,2,13621.99,3,3,5,335,Loyal Customers,MUMBAI
C1046585,2016-10-20,12,4,13603.12,4,5,5,455,Champions,MUMBAI
C1005191,2016-10-28,4,2,13602.53,5,4,5,545,Champions,KOLKATA
C1030532,2016-09-22,40,3,13566.62,2,4,5,245,At Risk,PUNE
C1022637,2016-10-07,25,4,13539.07,3,5,5,355,Loyal Customers,NOIDA
C1001329,2016-09-26,36,2,13538.55,2,3,5,235,At Risk,HYDERABAD
C1014028,2016-09-26,36,4,13509.15,2,5,5,255,At Risk,CHENNAI
C1035320,2016-10-21,11,3,13499.83,4,4,5,445,Champions,JAIPUR
C1019927,2016-10-30,2,6,13479.65,5,5,5,555,Champions,HYDERABAD
C1006837,2016-08-13,80,1,13473.64,1,1,5,115,Low Value / Casual,JAIPUR
C1025918,2016-09-22,40,1,13461.87,2,1,5,215,Low Value / Casual,NOIDA
C1024501,2016-08-31,62,3,13438.8,1,4,5,145,At Risk,HYDERABAD
C1001725,2016-09-30,32,2,13430.65,3,3,5,335,Loyal Customers,MUMBAI
C1044868,2016-10-15,17,7,13389.42,4,5,5,455,Champions,NEW DELHI
C1013174,2016-10-28,4,3,13382.63,5,5,5,555,Champions,BANGALORE
C1009598,2016-09-20,42,2,13373.04,2,3,5,235,At Risk,CHENNAI
C1012431,2016-09-28,34,3,13369.35,3,4,5,345,Loyal Customers,BANGALORE
C1030520,2016-10-20,12,3,13367.9,4,4,5,445,Champions,MUMBAI
C1015716,2016-10-16,16,6,13343.87,4,5,5,455,Champions,KOLKATA
C1030560,2016-10-07,25,4,13343.75,3,5,5,355,Loyal Customers,KOLKATA
C1028338,2016-09-02,60,6,13341.93,1,5,5,155,At Risk,GURGAON
C1004094,2016-09-22,40,4,13333.97,2,5,5,255,At Risk,MUMBAI
C1002023,2016-09-25,37,2,13332.64,2,3,5,235,At Risk,BANGALORE
C1012334,2016-10-23,9,7,13321.71,5,5,5,555,Champions,NOIDA
C1026348,2016-10-28,4,3,13305.97,5,5,5,555,Champions,AHMEDABAD
C1045514,2016-10-30,2,3,13300.38,5,5,5,555,Champions,PUNE
C1019805,2016-10-29,3,3,13268.35,5,5,5,555,Champions,BANGALORE
C1044612,2016-10-24,8,4,13265.72,5,5,5,555,Champions,MUMBAI
C1009050,2016-10-21,11,3,13231.02,4,4,5,445,Champions,THANE
C1044034,2016-10-29,3,4,13221.54,5,5,5,555,Champions,GURGAON
C1042718,2016-10-18,14,2,13200.52,4,3,5,435,Loyal Customers,NEW DELHI
C1000965,2016-10-30,2,4,13195.29,5,5,5,555,Champions,MUMBAI
C1047294,2016-10-01,31,7,13155.33,3,5,5,355,Loyal Customers,BANGALORE
C1024747,2016-10-21,11,5,13125.31,4,5,5,455,Champions,MUMBAI
C1007012,2016-09-20,42,3,13118.6,2,4,5,245,At Risk,PUNE
C1043075,2016-10-31,1,5,13103.16,5,5,5,555,Champions,NEW DELHI
C1031609,2016-10-30,2,4,13070.04,5,5,5,555,Champions,HYDERABAD
C1033549,2016-10-31,1,4,13049.18,5,5,5,555,Champions,MUMBAI
C1010823,2016-08-24,69,2,13040.07,1,2,5,125,Low Value / Casual,PUNE
C1026643,2016-10-31,1,2,13038.38,5,4,5,545,Champions,NOIDA
C1011807,2016-09-19,43,6,13026.81,2,5,5,255,At Risk,AHMEDABAD
C1026935,2016-10-27,5,3,13016.06,5,5,5,555,Champions,PUNE
C1042694,2016-10-10,22,2,12991.39,3,3,5,335,Loyal Customers,PATNA
C1010783,2016-10-06,26,2,12987.6,3,3,5,335,Loyal Customers,HYDERABAD
C1014943,2016-09-18,44,4,12984.74,2,5,5,255,At Risk,CHENNAI
C1013952,2016-10-28,4,3,12984.62,5,5,5,555,Champions,AHMEDABAD
C1027202,2016-09-10,52,3,12956.43,2,4,5,245,At Risk,NOIDA
C1029110,2016-10-20,12,6,12955.04,4,5,5,455,Champions,MUMBAI
C1040201,2016-10-30,2,5,12949.01,5,5,5,555,Champions,BANGALORE
C1008413,2016-09-27,35,3,12901.24,2,4,5,245,At Risk,CHENNAI
C1023031,2016-10-20,12,7,12857.94,4,5,5,455,Champions,KOLKATA
C1001571,2016-10-16,16,4,12835.91,4,5,5,455,Champions,AHMEDABAD
C1002544,2016-10-02,30,2,12834.21,3,3,5,335,Loyal Customers,NOIDA
C1023103,2016-10-30,2,3,12830.68,5,5,5,555,Champions,MUMBAI
C1031918,2016-10-24,8,3,12820.66,5,4,5,545,Champions,MUMBAI
C1009726,2016-09-24,38,2,12818.79,2,3,5,235,At Risk,BANGALORE
C1015730,2016-09-13,49,1,12817.43,2,1,5,215,Low Value / Casual,GURGAON
C1034883,2016-09-06,56,2,12782.16,1,2,5,125,Low Value / Casual,BANGALORE
C1044923,2016-10-04,28,2,12780.18,3,3,5,335,Loyal Customers,NEW DELHI
C1028394,2016-10-14,18,6,12770.16,4,5,5,455,Champions,AHMEDABAD
C1005286,2016-10-18,14,4,12768.85,4,5,5,455,Champions,CHENNAI
C1007707,2016-09-10,52,3,12747.12,2,4,5,245,At Risk,MUMBAI
C1045966,2016-09-17,45,5,12734.41,2,5,5,255,At Risk,NEW DELHI
C1026685,2016-10-21,11,2,12734.32,4,3,5,435,Loyal Customers,BANGALORE
C1004283,2016-10-23,9,6,12725.16,5,5,5,555,Champions,THANE
C1006082,2016-10-11,21,2,12713.38,3,3,5,335,Loyal Customers,CHENNAI
C1026837,2016-10-30,2,2,12703.78,5,4,5,545,Champions,PUNE
C1008562,2016-10-12,20,3,12698.52,4,4,5,445,Champions,AHMEDABAD
C1041638,2016-10-28,4,4,12656.87,5,5,5,555,Champions,JAIPUR
C1030052,2016-10-14,18,1,12639.39,4,2,5,425,Big Spenders,NOIDA
C1046751,2016-09-09,53,2,12629.41,2,2,5,225,Low Value / Casual,NEW DELHI
C1045180,2016-10-15,17,1,12624.6,4,2,5,425,Big Spenders,GURGAON
C1045328,2016-10-28,4,5,12597.56,5,5,5,555,Champions,KOLKATA
C1029027,2016-09-24,38,1,12596.23,2,1,5,215,Low Value / Casual,MUMBAI
C1032722,2016-09-13,49,3,12580.2,2,4,5,245,At Risk,BANGALORE
