transaction_id,customer_id,transaction_date,transaction_time,transaction_amount,account_balance,location,month
T74,C1031810,2016-10-21,08:26:20,213.71,5485.67,CHENNAI,2016-10
T75,C1028895,2016-09-30,03:30:35,405.22,2114.83,AHMEDABAD,2016-09
T76,C1029129,2016-10-25,15:29:21,155.22,3674.22,HYDERABAD,2016-10
T77,C1035717,2016-09-19,05:07:39,2393.18,81984.29,CHENNAI,2016-09
T78,C1026137,2016-08-25,14:52:14,159.47,12096.81,MUMBAI,2016-08
T79,C1048801,2016-08-21,13:32:34,188.76,23666.66,PUNE,2016-08
T80,C1020084,2016-09-26,00:42:35,2186.8,17195.67,MUMBAI,2016-09
T81,C1035571,2016-10-16,01:15:29,1462.69,51900.2,MUMBAI,2016-10
T82,C1017808,2016-08-20,16:41:37,412.35,11391.19,NEW DELHI,2016-08
T83,C1024941,2016-08-06,08:05:17,652.68,62639.87,HYDERABAD,2016-08
T84,C1013777,2016-08-26,19:38:01,277.15,5693.42,PUNE,2016-08
T85,C1028926,2016-09-01,23:55:28,918.63,8475.5,BANGALORE,2016-09
T86,C1039331,2016-08-01,04:36:41,1063.89,13715.73,JAIPUR,2016-08
T87,C1011454,2016-10-25,22:04:06,207.88,20271.08,NEW DELHI,2016-10
T88,C1026717,2016-08-01,11:52:57,517.89,88246.46,GURGAON,2016-08
T89,C1007061,2016-10-03,08:27:33,509.96,15292.55,AHMEDABAD,2016-10
T90,C1043414,2016-09-15,07:58:39,59.68,27307.08,MUMBAI,2016-09
T91,C1037824,2016-10-09,19:14:26,97.93,8394.73,NEW DELHI,2016-10
T92,C1043813,2016-10-19,23:22:50,1008.63,8434.29,HYDERABAD,2016-10
T93,C1046900,2016-08-25,11:06:41,814.74,5509.68,BANGALORE,2016-08
T94,C1027407,2016-10-14,15:54:06,1320.83,211850.91,CHENNAI,2016-10
T95,C1041236,2016-08-19,08:06:25,787.19,31656.76,GURGAON,2016-08
T96,C1026425,2016-09-30,07:23:44,222.12,2913.66,JAIPUR,2016-09
T97,C1014143,2016-09-08,08:49:50,685.3,9328.78,BANGALORE,2016-09
T98,C1039579,2016-10-10,14:13:23,2135.95,6593.52,BANGALORE,2016-10
T99,C1014076,2016-09-30,16:28:52,364.36,159156.07,PUNE,2016-09
T100,C1011169,2016-08-25,03:24:18,260.9,80619.45,PUNE,2016-08
T101,C1043441,2016-08-24,20:17:38,255.04,32502.4,INDORE,2016-08
T102,C1040002,2016-10-04,09:21:44,26.89,5029.13,MUMBAI,2016-10
T103,C1046487,2016-09-03,22:12:07,134.98,33689.44,PATNA,2016-09
T104,C1031480,2016-10-13,12:26:29,78.72,47844.44,BANGALORE,2016-10
T105,C1004878,2016-10-29,20:27:22,207.14,34765.71,MUMBAI,2016-10
T106,C1027617,2016-08-01,00:02:29,652.1,51428.56,BANGALORE,2016-08
T107,C1010115,2016-09-03,04:32:33,189.08,47067.98,KOLKATA,2016-09
T108,C1003236,2016-09-26,07:11:41,2472.85,4506.24,LUCKNOW,2016-09
T109,C1040444,2016-10-08,09:51:27,404.79,6691.57,MUMBAI,2016-10
T110,C1031617,2016-08-09,09:16:45,528.52,20049.69,BANGALORE,2016-08
T111,C1006333,2016-09-18,03:58:40,652.47,8555.55,INDORE,2016-09
T112,C1036985,2016-08-02,17:32:39,196.51,20130.49,CHENNAI,2016-08
T113,C1022013,2016-08-04,14:58:46,436.55,47691.95,MUMBAI,2016-08
T114,C1005689,2016-09-27,14:21:58,3733.74,12915.86,KOLKATA,2016-09
T115,C1043687,2016-10-24,04:12:06,279.26,6395.63,HYDERABAD,2016-10
T116,C1047090,2016-10-06,04:56:49,312.95,107477.31,PUNE,2016-10
T117,C1025675,2016-08-20,01:55:27,1007.71,10027.07,HYDERABAD,2016-08
T118,C1011922,2016-10-23,07:06:33,1805.11,14157.07,BANGALORE,2016-10
T119,C1049075,2016-09-26,21:30:41,231.01,4629.28,MUMBAI,2016-09
T120,C1006430,2016-09-08,15:26:57,379.39,66199.96,SURAT,2016-09
T121,C1023047,2016-08-09,14:51:35,820.39,8575.52,BANGALORE,2016-08
T122,C1001611,2016-09-20,06:00:57,325.85,665470.41,GURGAON,2016-09
T123,C1043513,2016-09-16,23:11:30,105.03,67849.81,CHENNAI,2016-09
T124,C1007194,2016-10-13,08:48:33,114.35,23991.15,PUNE,2016-10
T125,C1014624,2016-08-16,08:59:06,1724.37,29161.13,PUNE,2016-08
T126,C1013003,2016-08-19,22:52:27,4717.97,21156.04,BANGALORE,2016-08
T127,C1005882,2016-08-07,10:01:31,2466.42,58814.89,CHENNAI,2016-08
T128,C1029161,2016-10-21,13:47:49,558.1,19627.62,MUMBAI,2016-10
T129,C1030953,2016-10-02,14:27:04,1864.24,16333.27,NEW DELHI,2016-10
T130,C1006860,2016-08-19,13:42:12,337.39,11426.47,KOLKATA,2016-08
T131,C1003659,2016-09-01,20:35:44,525.24,18989.31,HYDERABAD,2016-09
T132,C1031507,2016-09-16,23:28:09,788.62,15692.27,PUNE,2016-09
T133,C1038279,2016-10-18,20:52:56,325.01,16698.01,NEW DELHI,2016-10
T134,C1007646,2016-08-10,21:45:52,1422.75,123755.33,BANGALORE,2016-08
T135,C1020267,2016-10-09,08:46:49,2303.03,6174.03,MUMBAI,2016-10
T136,C1025386,2016-10-11,02:48:39,41.16,49454.01,BANGALORE,2016-10
T137,C1037103,2016-10-11,04:20:36,343.8,41485.19,PUNE,2016-10
T138,C1013441,2016-09-13,00:25:22,216.73,21372.67,NEW DELHI,2016-09
T139,C1034344,2016-08-07,02:07:20,402.4,21585.78,HYDERABAD,2016-08
T140,C1019518,2016-08-22,03:47:50,1987.19,27973.82,MUMBAI,2016-08
T141,C1001590,2016-08-09,00:03:41,45.04,8708.42,HYDERABAD,2016-08
T142,C1002528,2016-08-28,21:14:19,609.33,33063.8,BANGALORE,2016-08
T143,C1008602,2016-09-09,12:46:56,535.07,5974.03,HYDERABAD,2016-09
T144,C1033073,2016-09-29,15:58:06,249.11,19446.81,NEW DELHI,2016-09
T145,C1045417,2016-10-22,19:52:39,2152.31,16316.26,HYDERABAD,2016-10
T146,C1010809,2016-10-13,09:43:40,398.08,10356.85,BANGALORE,2016-10
T147,C1017113,2016-08-06,20:38:55,5455.77,12421.33,PUNE,2016-08
T148,C1034329,2016-10-10,20:00:23,726.98,32847.14,GURGAON,2016-10
T149,C1021370,2016-09-16,10:41:56,143.83,12867.14,HYDERABAD,2016-09
T150,C1042685,2016-09-10,00:41:41,284.74,5587.35,NEW DELHI,2016-09
T151,C1010022,2016-10-01,19:43:23,19.16,4850.93,MUMBAI,2016-10
T152,C1047967,2016-08-26,11:15:42,123.03,20450.16,MUMBAI,2016-08
T153,C1035865,2016-08-01,08:09:07,733.41,21930.61,KOLKATA,2016-08
T154,C1000871,2016-09-06,20:59:45,2486.13,85114.43,GURGAON,2016-09
T155,C1007214,2016-08-07,18:41:09,162.3,40233.13,BANGALORE,2016-08
T156,C1006077,2016-08-24,15:34:32,1162.5,13483.95,MUMBAI,2016-08
T157,C1027769,2016-10-25,20:24:12,711.62,24959.16,PUNE,2016-10
T158,C1008680,2016-09-25,18:35:57,85.22,22696.01,BANGALORE,2016-09
T159,C1023678,2016-08-25,22:28:48,315.4,16556.84,MUMBAI,2016-08
T160,C1021953,2016-09-07,21:44:30,232.08,484.74,PUNE,2016-09
T161,C1018424,2016-09-27,05:01:44,468.38,8344.44,NEW DELHI,2016-09
T162,C1048228,2016-10-28,14:33:04,702.63,2495.1,CHENNAI,2016-10
T163,C1041762,2016-09-28,04:44:16,273.99,4209.33,NOIDA,2016-09
T164,C1027388,2016-09-23,02:59:48,652.62,30978.93,NEW DELHI,2016-09
T165,C1016163,2016-09-11,20:54:46,1268.31,4513.3,NOIDA,2016-09
T166,C1027831,2016-08-14,19:58:23,918.59,53111.14,MUMBAI,2016-08
T167,C1002406,2016-09-20,03:51:24,752.38,175014.45,THANE,2016-09
T168,C1026128,2016-09-20,21:37:41,81.03,8877.78,NEW DELHI,2016-09
T169,C1029079,2016-10-16,16:47:42,1090.33,15764.65,KOLKATA,2016-10
T170,C1009159,2016-08-13,09:05:40,307.9,13308.13,GURGAON,2016-08
T171,C1022210,2016-10-06,21:00:10,259.56,43338.32,THANE,2016-10
T172,C1032520,2016-08-19,02:38:51,77.42,25051.3,MUMBAI,2016-08
T173,C1045283,2016-09-25,10:24:28,235.32,22034.48,BANGALORE,2016-09
T174,C1049711,2016-10-21,03:54:36,478.62,13421.67,NEW DELHI,2016-10
T175,C1009722,2016-10-14,22:06:44,1650.32,689.63,BANGALORE,2016-10
T176,C1016850,2016-08-18,12:43:56,193.02,25978.86,GURGAON,2016-08
T177,C1031741,2016-08-29,03:54:01,205.78,22820.57,HYDERABAD,2016-08
T178,C1014949,2016-08-29,14:53:59,1301.91,9130.52,AHMEDABAD,2016-08
T179,C1035260,2016-09-10,20:19:39,538.77,11939.08,NOIDA,2016-09
T180,C1030065,2016-08-28,11:15:22,236.2,69122.55,HYDERABAD,2016-08
T181,C1026075,2016-08-25,16:51:40,240.26,4180.38,BANGALORE,2016-08
T182,C1017181,2016-08-14,05:19:01,315.29,14808.91,GURGAON,2016-08
T183,C1014184,2016-10-28,07:53:28,408.92,148471.59,PUNE,2016-10
T184,C1025011,2016-09-24,20:26:21,199.1,16370.94,PUNE,2016-09
T185,C1042773,2016-10-17,20:43:29,49.59,40854.1,MUMBAI,2016-10
T186,C1012827,2016-09-19,03:44:16,220.31,4659.02,JAIPUR,2016-09
T187,C1001926,2016-08-16,02:01:10,883.84,34897.03,KOLKATA,2016-08
T188,C1046120,2016-09-20,23:49:01,1249.55,4448.28,BANGALORE,2016-09
T189,C1043342,2016-09-02,14:44:29,194.46,6032.58,CHENNAI,2016-09
T190,C1010252,2016-08-08,19:07:24,7677.06,19571.91,NEW DELHI,2016-08
T191,C1047115,2016-10-23,19:51:24,1419.5,26476.89,BANGALORE,2016-10
T192,C1028369,2016-10-24,05:13:17,268.22,3536.61,BANGALORE,2016-10
T193,C1021938,2016-08-07,10:49:06,821.73,6788.71,MUMBAI,2016-08
T194,C1049242,2016-10-18,05:14:14,215.78,9149.89,KOLKATA,2016-10
T195,C1001166,2016-08-04,09:29:09,135.04,8605.76,BANGALORE,2016-08
T196,C1021914,2016-10-06,03:45:11,2392.51,21729.37,PUNE,2016-10
T197,C1013339,2016-10-02,11:08:33,369.36,13138.01,CHENNAI,2016-10
T198,C1018496,2016-09-22,08:54:21,75.87,197687.21,GURGAON,2016-09
T199,C1034922,2016-08-05,11:53:58,113.69,18789.21,PUNE,2016-08
T200,C1019466,2016-10-24,02:10:33,94.67,6927.7,LUCKNOW,2016-10
T201,C1022309,2016-09-18,02:33:18,164.36,3205.73,NEW DELHI,2016-09
T202,C1003939,2016-09-07,18:21:05,193.38,12361.33,CHENNAI,2016-09
T203,C1009531,2016-08-11,00:04:29,6372.54,6108.9,CHENNAI,2016-08
T204,C1004370,2016-09-12,07:29:33,661.68,157823.21,HYDERABAD,2016-09
T205,C1049050,2016-08-21,10:23:56,1072.29,29717.08,CHENNAI,2016-08
T206,C1033881,2016-09-04,07:34:50,427.45,16415.02,PUNE,2016-09
T207,C1045628,2016-09-12,08:55:23,135.02,5452.68,KOLKATA,2016-09
T208,C1041343,2016-09-11,21:31:51,138.3,6792.82,LUCKNOW,2016-09
T209,C1040038,2016-10-13,21:16:47,690.43,30097.67,MUMBAI,2016-10
T210,C1045456,2016-09-05,14:23:41,590.02,7497.17,BANGALORE,2016-09
T211,C1041975,2016-09-24,09:27:22,331.63,22362.99,HYDERABAD,2016-09
T212,C1000567,2016-09-16,12:57:45,17.03,9916.59,KOLKATA,2016-09
T213,C1025249,2016-08-18,23:29:44,1041.58,15564.31,MUMBAI,2016-08
T214,C1019858,2016-08-08,13:01:38,817.47,10594.82,MUMBAI,2016-08
T215,C1006564,2016-09-08,12:10:22,1563.54,21030.23,KOLKATA,2016-09
T216,C1026281,2016-08-04,18:31:17,62.73,18455.99,NEW DELHI,2016-08
T217,C1008670,2016-10-20,01:14:34,1067.8,7066.77,NEW DELHI,2016-10
T218,C1041802,2016-09-25,22:19:35,933.95,3649.93,BANGALORE,2016-09
T219,C1049206,2016-08-13,20:05:58,411.17,10387.94,NEW DELHI,2016-08
T220,C1024544,2016-08-13,17:45:18,1187.13,6475.34,GURGAON,2016-08
T221,C1007300,2016-09-14,10:35:18,270.71,5798.17,NEW DELHI,2016-09
T222,C1045653,2016-08-25,12:44:10,4203.51,6228.97,CHENNAI,2016-08
T223,C1038881,2016-10-20,23:41:01,313.64,10104.95,HYDERABAD,2016-10
T224,C1003696,2016-09-08,22:09:15,660.28,51687.94,NEW DELHI,2016-09
T225,C1042786,2016-09-12,05:32:13,165.95,120363.19,KOLKATA,2016-09
T226,C1004095,2016-09-19,17:20:59,140.97,213658.71,BANGALORE,2016-09
T227,C1017047,2016-08-07,11:58:54,66.93,14334.12,MUMBAI,2016-08
T228,C1022048,2016-09-15,01:02:38,91.31,10158.2,BANGALORE,2016-09
T229,C1038341,2016-08-06,04:03:26,3148.49,14470.16,NEW DELHI,2016-08
T230,C1048742,2016-09-22,10:51:44,523.17,27248.06,KOLKATA,2016-09
T231,C1036705,2016-10-28,01:29:16,2283.95,10504.86,BANGALORE,2016-10
T232,C1031035,2016-10-12,12:11:20,224.47,12688.82,HYDERABAD,2016-10
T233,C1002522,2016-10-23,18:47:17,523.23,14707.73,MUMBAI,2016-10
T234,C1012294,2016-10-13,22:32:27,126.71,14671.05,NEW DELHI,2016-10
T235,C1000300,2016-10-31,19:02:06,94.99,62091.97,THANE,2016-10
T236,C1003409,2016-08-05,03:46:17,180.75,23038.76,THANE,2016-08
T237,C1000443,2016-09-09,08:23:04,2743.32,7355.61,INDORE,2016-09
T238,C1026624,2016-08-22,00:44:07,250.83,8864.11,NEW DELHI,2016-08
T239,C1011290,2016-08-07,07:41:33,379.25,10707.61,CHENNAI,2016-08
T240,C1028339,2016-10-07,00:27:46,1060.42,9716.78,NEW DELHI,2016-10
T241,C1020854,2016-08-30,07:43:14,5997.29,4690.3,PUNE,2016-08
T242,C1040994,2016-10-04,14:20:45,605.98,10985.16,BANGALORE,2016-10
T243,C1040086,2016-09-30,01:49:04,122.22,6617.94,AHMEDABAD,2016-09
T244,C1003349,2016-09-01,18:34:15,2021.07,4580.57,HYDERABAD,2016-09
T245,C1011183,2016-08-11,20:42:17,223.55,62653.55,NEW DELHI,2016-08
T246,C1047651,2016-09-08,20:39:16,17.78,6356.67,MUMBAI,2016-09
T247,C1020608,2016-08-01,20:29:09,2882.52,14716.59,BANGALORE,2016-08
T248,C1026554,2016-08-05,11:58:14,388.72,21210.91,SURAT,2016-08
T249,C1008809,2016-08-05,16:52:07,1071.24,2643.75,AHMEDABAD,2016-08
T250,C1006486,2016-10-22,18:50:43,39.24,43768.14,BANGALORE,2016-10
T251,C1034142,2016-09-09,02:39:03,1929.59,10500.74,AHMEDABAD,2016-09
T252,C1037112,2016-09-30,22:02:09,1556.89,27519.71,MUMBAI,2016-09
T253,C1029656,2016-09-27,14:27:09,1459.87,4917.57,MUMBAI,2016-09
T254,C1012748,2016-09-26,18:56:47,259.57,6963.98,CHENNAI,2016-09
T255,C1023703,2016-10-07,02:53:33,743.71,712.85,HYDERABAD,2016-10
T256,C1039730,2016-08-28,10:34:33,601.26,11553.34,PUNE,2016-08
T257,C1035318,2016-08-24,17:50:43,1044.81,21330.64,BANGALORE,2016-08
T258,C1017525,2016-08-07,22:52:36,1292.5,33012.55,NEW DELHI,2016-08
T259,C1008994,2016-10-03,23:02:06,1051.23,14856.4,BANGALORE,2016-10
T260,C1042995,2016-09-28,00:37:53,139.2,11550.94,INDORE,2016-09
T261,C1036337,2016-09-27,01:33:04,156.07,89910.59,PUNE,2016-09
T262,C1000743,2016-09-22,08:40:22,642.15,108051.26,CHENNAI,2016-09
T263,C1019556,2016-09-16,18:59:17,175.26,100356.03,HYDERABAD,2016-09
T264,C1041462,2016-08-26,12:20:48,2442.57,6945.1,THANE,2016-08
T265,C1003376,2016-08-15,01:37:14,264.57,27645.0,HYDERABAD,2016-08
T266,C1024930,2016-10-31,08:33:36,404.2,39328.31,MUMBAI,2016-10
T267,C1015164,2016-10-05,18:00:52,279.1,48863.32,INDORE,2016-10
T268,C1036379,2016-09-08,03:59:37,742.8,20318.22,NOIDA,2016-09
T269,C1048500,2016-09-13,03:52:41,1583.95,15838.81,MUMBAI,2016-09
T270,C1013495,2016-10-06,21:53:41,406.99,48957.77,CHENNAI,2016-10
T271,C1038500,2016-08-31,07:46:25,1456.61,10488.05,MUMBAI,2016-08
T272,C1025076,2016-10-14,14:31:37,1148.8,9758.9,AHMEDABAD,2016-10
T273,C1008875,2016-09-06,08:52:06,379.1,90442.21,PUNE,2016-09
T274,C1030248,2016-09-11,20:20:54,166.85,62926.23,BANGALORE,2016-09
T275,C1048269,2016-08-12,20:44:15,946.37,8533.21,KOLKATA,2016-08
T276,C1043827,2016-10-01,01:04:52,475.22,6141.84,HYDERABAD,2016-10
T277,C1049392,2016-10-24,02:31:46,700.98,11847.13,BANGALORE,2016-10
T278,C1011946,2016-08-16,01:45:12,3894.09,33476.68,MUMBAI,2016-08
T279,C1040932,2016-09-05,14:01:00,2019.59,5399.21,MUMBAI,2016-09
T280,C1028671,2016-08-11,17:05:29,876.37,74360.02,NEW DELHI,2016-08
T281,C1027011,2016-09-23,03:51:26,547.63,6921.94,SURAT,2016-09
T282,C1028600,2016-08-19,03:01:47,320.63,2409.02,NEW DELHI,2016-08
T283,C1033261,2016-09-01,15:22:10,304.41,6282.73,PUNE,2016-09
T284,C1034086,2016-08-31,10:26:56,3459.04,43644.7,CHENNAI,2016-08
T285,C1001817,2016-09-08,04:00:15,98.94,7674.55,AHMEDABAD,2016-09
T286,C1028573,2016-10-14,11:37:45,1463.42,14835.38,CHENNAI,2016-10
T287,C1007977,2016-10-14,09:53:15,82.95,8967.94,NEW DELHI,2016-10
T288,C1032924,2016-10-13,06:27:13,131.52,49913.21,AHMEDABAD,2016-10
T289,C1048470,2016-08-05,20:49:10,847.25,25948.67,NEW DELHI,2016-08
T290,C1002429,2016-09-25,07:56:46,327.82,7688.89,BANGALORE,2016-09
T291,C1027411,2016-10-18,23:46:21,2689.08,22691.9,BANGALORE,2016-10
T292,C1036267,2016-10-17,19:18:24,9070.33,228633.0,KOLKATA,2016-10
T293,C1017214,2016-09-19,08:20:22,40.96,8855.1,MUMBAI,2016-09
T294,C1032594,2016-09-06,20:58:49,391.31,13724.0,MUMBAI,2016-09
T295,C1019075,2016-08-11,12:35:53,2787.36,41205.84,PATNA,2016-08
T296,C1044993,2016-10-15,03:56:36,309.52,7774.7,HYDERABAD,2016-10
T297,C1006227,2016-08-10,13:42:33,121.07,65252.36,PUNE,2016-08
T298,C1021161,2016-08-01,17:14:18,761.38,28564.18,CHENNAI,2016-08
T299,C1040123,2016-10-03,20:43:26,86.01,4734.63,NEW DELHI,2016-10
T300,C1037425,2016-08-24,14:37:17,546.44,5894.81,BANGALORE,2016-08
T301,C1043941,2016-09-06,18:29:52,67.28,23704.57,NEW DELHI,2016-09
T302,C1014387,2016-09-13,10:00:16,376.06,73273.44,NOIDA,2016-09
T303,C1039550,2016-09-27,13:13:31,321.17,27178.14,NEW DELHI,2016-09
T304,C1028112,2016-10-02,22:55:46,5501.11,52448.35,BANGALORE,2016-10
T305,C1012475,2016-08-30,01:28:41,484.7,3660.49,GURGAON,2016-08
T306,C1016024,2016-08-13,08:19:18,536.14,8901.61,HYDERABAD,2016-08
T307,C1026447,2016-08-31,06:26:44,158.56,11183.95,HYDERABAD,2016-08
T308,C1037227,2016-08-22,04:02:43,76.0,13397.73,MUMBAI,2016-08
T309,C1043016,2016-10-23,09:49:51,3197.23,6897.54,NEW DELHI,2016-10
T310,C1034371,2016-09-30,11:10:23,8.3,20523.21,KOLKATA,2016-09
T311,C1030254,2016-09-23,21:05:23,44.13,10309.14,MUMBAI,2016-09
T312,C1024999,2016-10-27,17:29:45,477.17,6119.87,KOLKATA,2016-10
T313,C1037364,2016-08-12,00:23:08,683.61,11401.46,KOLKATA,2016-08
T314,C1017848,2016-08-02,22:33:42,831.89,3412.84,MUMBAI,2016-08
T315,C1045962,2016-08-16,14:04:33,271.19,11089.63,CHENNAI,2016-08
T316,C1020771,2016-08-04,16:11:00,154.81,10711.61,PUNE,2016-08
T317,C1035170,2016-10-10,00:44:41,119.34,15707.83,JAIPUR,2016-10
T318,C1009992,2016-10-23,18:42:45,397.91,8486.4,CHENNAI,2016-10
T319,C1035474,2016-09-24,07:07:46,69.91,40211.85,GURGAON,2016-09
T320,C1006778,2016-10-15,04:50:50,440.78,22289.2,GURGAON,2016-10
T321,C1036318,2016-08-17,02:02:18,2285.11,63224.05,NEW DELHI,2016-08
T322,C1031122,2016-09-02,17:20:42,110.17,59469.23,CHENNAI,2016-09
T323,C1028379,2016-10-25,10:41:04,886.39,2993.93,GURGAON,2016-10
T324,C1038669,2016-09-13,02:18:54,1158.73,22167.06,NEW DELHI,2016-09
T325,C1019909,2016-10-18,12:13:32,292.99,3605.62,GURGAON,2016-10
T326,C1007651,2016-10-18,20:24:09,2019.05,23133.94,BANGALORE,2016-10
T327,C1019245,2016-09-13,04:59:01,52.34,17642.81,MUMBAI,2016-09
T328,C1029659,2016-08-02,18:43:47,906.4,202062.91,MUMBAI,2016-08
T329,C1038166,2016-09-18,03:29:21,241.85,32030.98,AHMEDABAD,2016-09
T330,C1037175,2016-10-23,15:44:49,330.12,14492.89,BANGALORE,2016-10
