TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR)
T76,C1029129,7/1/1963,M,HYDERABAD,3674.22,25/10/16,152921,155.22
T77,C1035717,17/3/1955,F,CHENNAI,81984.29,19/9/16,50739,2393.18
T78,C1026137,15/8/1993,F,mumbai,12096.81,25/8/16,145214,159.47
T79,C1048801,2/12/1990,M,PUNE,23666.66,21/8/16,133234,188.76
T80,C1020084,23/8/1951,M,MUMBAI,17195.67,26/9/16,4235,2186.80
T81,C1035571,21/2/1978,M,MUMBAI,51900.20,16/10/16,11529,1462.69
T82,C1017808,26/9/1965,M,NEW DELHI,11391.19,20/8/16,164137,412.35
T83,C1024941,25/11/1970,M,HYDERABAD,62639.87,6/8/16,80517,652.68
T84,C1013777,20/10/1977,F,pune,5693.42,26/8/16,193801,277.15
T85,C1028926,11/9/1970,F,BANGALORE,8475.50,1/9/16,235528,918.63
T86,C1039331,14/2/1961,M,JAIPUR,13715.73,1/8/16,43641,1063.89
T87,C1011454,1/1/1800,M,NEW DELHI,20271.08,25/10/16,220406,207.88
T88,C1026717,20/4/1956,F,GURGAON,88246.46,1/8/16,115257,517.89
T89,C1007061,22/3/1959,M,AHMEDABAD,15292.55,3/10/16,82733,509.96
T90,C1043414,16/9/1973,M,MUMBAI,27307.08,15/9/16,75839,59.68
T91,C1037824,27/7/1967,M,NEW DELHI,8394.73,9/10/16,191426,97.93
T92,C1043813,1/9/1954,M,hyderabad,8434.29,19/10/16,232250,1008.63
T93,C1046900,16/7/1977,M,BANGALORE,5509.68,25/8/16,110641,814.74
T94,C1027407,25/1/1988,M,chennai,211850.91,14/10/16,155406,1320.83
T95,C1041236,22/6/1990,M,GURGAON,31656.76,19/8/16,80625,787.19
T96,C1026425,23/12/1961,M,JAIPUR,2913.66,30/9/16,72344,222.12
T97,C1014143,25/3/1983,M,BANGALORE,9328.78,8/9/16,84950,685.30
T98,C1039579,23/11/1978,M,BANGALORE,6593.52,10/10/16,141323,2135.95
T99,C1014076,21/1/1989,M,PUNE,159156.07,30/9/16,162852,364.36
T100,C1011169,19/3/1962,M,PUNE,80619.45,25/8/16,32418,260.90
T101,C1043441,8/11/1983,M,INDORE,32502.40,24/8/16,201738,255.04
T102,C1040002,7/8/1974,M,MUMBAI,5029.13,4/10/16,92144,26.89
T103,C1046487,9/3/1971,M,PATNA,33689.44,3/9/16,221207,134.98
T104,C1031480,20/8/1953,F,BANGALORE,47844.44,13/10/16,122629,78.72
T105,C1004878,20/7/1955,M,MUMBAI,34765.71,29/10/16,202722,207.14
T106,C1027617,1/1/1800,M,BANGALORE,51428.56,1/8/16,229,652.10
T107,C1010115,,M,KOLKATA,47067.98,3/9/16,43233,189.08
T108,C1003236,3/3/1964,M,LUCKNOW,4506.24,26/9/16,71141,2472.85
T109,C1040444,26/3/1960,M,MUMBAI,6691.57,8/10/16,95127,404.79
T110,C1031617,18/7/1958,M,BANGALORE,20049.69,9/8/16,91645,528.52
T111,C1006333,25/8/1969,F,INDORE,8555.55,18/9/16,35840,652.47
T112,C1036985,2/1/1987,M,CHENNAI,20130.49,2/8/16,173239,196.51
T113,C1022013,5/4/1979,F,MUMBAI,47691.95,4/8/16,145846,436.55
T114,C1005689,10/12/1987,M,KOLKATA,12915.86,27/9/16,142158,3733.74
T115,C1043687,9/3/1998,F,HYDERABAD,6395.63,24/10/16,41206,279.26
T116,C1047090,12/1/1986,F,PUNE,107477.31,6/10/16,45649,312.95
T117,C1025675,9/3/1966,M,HYDERABAD,10027.07,20/8/16,15527,1007.71
T118,C1011922,4/11/1953,M,bangalore,14157.07,23/10/16,70633,1805.11
T119,C1049075,2/6/1969,M,MUMBAI,4629.28,26/9/16,213041,231.01
T120,C1006430,3/6/1996,M,SURAT,66199.96,8/9/16,152657,379.39
T121,C1023047,23/12/1972,M,bangalore,8575.52,9/8/16,145135,820.39
T122,C1001611,18/10/1951,M,GURGAON,665470.41,20/9/16,60057,325.85
T123,C1043513,2/4/1974,M,CHENNAI,67849.81,16/9/16,231130,105.03
T124,C1007194,,M,PUNE,23991.15,13/10/16,84833,114.35
T125,C1014624,2/1/1956,M,PUNE,29161.13,16/8/16,85906,1724.37
T126,C1013003,28/10/1952,M,BANGALORE,21156.04,19/8/16,225227,4717.97
T127,C1005882,16/9/1997,M,CHENNAI,58814.89,7/8/16,100131,2466.42
T128,C1029161,1/1/1800,M,mumbai,19627.62,21/10/16,134749,558.10
T129,C1030953,19/4/1973,M,NEW DELHI,16333.27,2/10/16,142704,1864.24
T130,C1006860,18/9/1970,M,KOLKATA,11426.47,19/8/16,134212,337.39
T131,C1003659,28/9/1981,M,HYDERABAD,18989.31,1/9/16,203544,525.24
T132,C1031507,1/1/1800,F,PUNE,15692.27,16/9/16,232809,788.62
T133,C1038279,2/5/1954,M,NEW DELHI,16698.01,18/10/16,205256,325.01
T134,C1007646,28/11/1986,M,BANGALORE,123755.33,10/8/16,214552,1422.75
T135,C1020267,26/10/1979,M,MUMBAI,6174.03,9/10/16,84649,2303.03
T136,C1025386,1/1/1800,M,BANGALORE,49454.01,11/10/16,24839,41.16
T137,C1037103,14/10/1958,M,PUNE,41485.19,11/10/16,42036,343.80
T138,C1013441,12/2/1976,M,NEW DELHI,21372.67,13/9/16,2522,216.73
T139,C1034344,6/4/1951,F,HYDERABAD,21585.78,7/8/16,20720,402.40
T140,C1019518,18/1/1951,M,MUMBAI,27973.82,22/8/16,34750,1987.19
T141,C1001590,19/4/1967,M,HYDERABAD,8708.42,9/8/16,341,45.04
T142,C1002528,15/6/1956,F,BANGALORE,33063.80,28/8/16,211419,609.33
T143,C1008602,5/2/1968,M,HYDERABAD,5974.03,9/9/16,124656,535.07
T144,C1033073,4/11/1991,F,NEW DELHI,19446.81,29/9/16,155806,249.11
T145,C1045417,11/4/1964,F,HYDERABAD,16316.26,22/10/16,195239,2152.31
T146,C1010809,22/9/1951,M,BANGALORE,10356.85,13/10/16,94340,398.08
T147,C1017113,26/11/1958,M,PUNE,12421.33,6/8/16,203855,5455.77
T148,C1034329,14/11/1967,M,gurgaon,32847.14,10/10/16,200023,726.98
T149,C1021370,23/11/1962,F,HYDERABAD,12867.14,16/9/16,104156,143.83
T150,C1042685,20/10/1979,M,NEW DELHI,5587.35,10/9/16,4141,284.74
T151,C1010022,21/1/1969,F,MUMBAI,4850.93,1/10/16,194323,19.16
T152,C1047967,1/1/1800,M,MUMBAI,20450.16,26/8/16,111542,123.03
T153,C1035865,7/10/1972,M,KOLKATA,21930.61,1/8/16,80907,733.41
T154,C1000871,6/5/1966,F,GURGAON,85114.43,6/9/16,205945,2486.13
T155,C1007214,5/7/1994,M,BANGALORE,40233.13,7/8/16,184109,162.30
T156,C1006077,10/4/1984,M,MUMBAI,13483.95,24/8/16,153432,1162.50
T157,C1027769,5/9/1952,M,PUNE,24959.16,25/10/16,202412,711.62
T158,C1008680,23/3/1975,F,BANGALORE,22696.01,25/9/16,183557,85.22
T159,C1023678,24/10/1971,M,mumbai,16556.84,25/8/16,222848,315.40
T160,C1021953,17/10/1975,M,PUNE,484.74,7/9/16,214430,232.08
T161,C1018424,16/8/1976,M,NEW DELHI,8344.44,27/9/16,50144,468.38
T162,C1048228,22/8/1980,F,CHENNAI,2495.10,28/10/16,143304,702.63
T163,C1041762,21/8/1992,M,NOIDA,4209.33,28/9/16,44416,273.99
T164,C1027388,1/9/1959,M,NEW DELHI,30978.93,23/9/16,25948,652.62
T165,C1016163,1/1/1800,M,NOIDA,4513.30,11/9/16,205446,1268.31
T166,C1027831,27/5/1986,M,MUMBAI,53111.14,14/8/16,195823,918.59
T167,C1002406,2/2/1998,F,THANE,175014.45,20/9/16,35124,752.38
T168,C1026128,26/1/1959,M,NEW DELHI,8877.78,20/9/16,213741,81.03
T169,C1029079,5/6/1966,M,KOLKATA,15764.65,16/10/16,164742,1090.33
T170,C1009159,18/12/1983,F,GURGAON,13308.13,13/8/16,90540,307.90
T171,C1022210,6/9/1990,F,THANE,43338.32,6/10/16,210010,259.56
T172,C1032520,1/1/1800,M,MUMBAI,25051.30,19/8/16,23851,77.42
T173,C1045283,27/5/1975,M,BANGALORE,22034.48,25/9/16,102428,235.32
T174,C1049711,2/11/1978,M,new delhi,13421.67,21/10/16,35436,478.62
T175,C1009722,1/10/1993,F,BANGALORE,689.63,14/10/16,220644,1650.32
T176,C1016850,5/12/1991,M,GURGAON,25978.86,18/8/16,124356,193.02
T177,C1031741,1/6/1994,F,HYDERABAD,22820.57,29/8/16,35401,205.78
T178,C1014949,6/12/1952,F,AHMEDABAD,9130.52,29/8/16,145359,1301.91
T179,C1035260,1/1/1800,M, NOIDA ,11939.08,10/9/16,201939,538.77
T180,C1030065,2/12/1994,F,HYDERABAD,69122.55,28/8/16,111522,236.20
T181,C1026075,2/10/1988,M,BANGALORE,4180.38,25/8/16,165140,240.26
T182,C1017181,12/1/1960,M,GURGAON,14808.91,14/8/16,51901,315.29
T183,C1014184,14/12/1956,M,PUNE,148471.59,28/10/16,75328,408.92
T184,C1025011,2/3/1966,M,PUNE,16370.94,24/9/16,202621,199.10
T185,C1042773,1/1/1800,M,MUMBAI,40854.10,17/10/16,204329,49.59
T186,C1012827,6/7/1986,F,JAIPUR,4659.02,19/9/16,34416,220.31
T187,C1001926,11/7/1995,F,KOLKATA,34897.03,16/8/16,20110,883.84
T188,C1046120,10/2/1958,F, BANGALORE ,4448.28,20/9/16,234901,1249.55
T189,C1043342,1/4/1972,F,CHENNAI,6032.58,2/9/16,144429,194.46
T190,C1010252,20/10/1957,M,NEW DELHI,19571.91,8/8/16,190724,7677.06
T191,C1047115,17/11/1965,F,BANGALORE,26476.89,23/10/16,195124,1419.50
T192,C1028369,13/10/1988,F,BANGALORE,3536.61,24/10/16,51317,268.22
T193,C1021938,21/8/1971,M,MUMBAI,6788.71,7/8/16,104906,821.73
T194,C1049242,10/10/1980,M,KOLKATA,9149.89,18/10/16,51414,215.78
T195,C1001166,2/9/1980,F,BANGALORE,8605.76,4/8/16,92909,135.04
T196,C1021914,19/10/1981,M,PUNE,21729.37,6/10/16,34511,2392.51
T197,C1013339,26/12/1998,M,CHENNAI,13138.01,2/10/16,110833,369.36
T198,C1018496,19/10/1986,F,GURGAON,197687.21,22/9/16,85421,75.87
T199,C1034922,6/7/1978,M,PUNE,18789.21,5/8/16,115358,113.69
T200,C1019466,13/4/1969,M,LUCKNOW,6927.70,24/10/16,21033,94.67
T201,C1022309,23/2/1993,M,NEW DELHI,3205.73,18/9/16,23318,164.36
T202,C1003939,11/11/1987,M,CHENNAI,12361.33,7/9/16,182105,193.38
T203,C1009531,26/11/1973,M,CHENNAI,6108.90,11/8/16,429,6372.54
T204,C1004370,27/11/1988,M,HYDERABAD,157823.21,12/9/16,72933,661.68
T205,C1049050,23/1/1985,M,CHENNAI,29717.08,21/8/16,102356,1072.29
T206,C1033881,18/12/1977,F,PUNE,16415.02,4/9/16,73450,427.45
T207,C1045628,13/2/1957,M,kolkata,5452.68,12/9/16,85523,135.02
T208,C1041343,4/9/1966,F,LUCKNOW,6792.82,11/9/16,213151,138.30
T209,C1040038,23/11/1957,F,MUMBAI,30097.67,13/10/16,211647,690.43
T210,C1045456,1/1/1800,F,BANGALORE,7497.17,5/9/16,142341,590.02
T211,C1041975,2/9/1953,M,HYDERABAD,22362.99,24/9/16,92722,331.63
T212,C1000567,10/8/1968,M,KOLKATA,9916.59,16/9/16,125745,17.03
T213,C1025249,5/11/1961,M,MUMBAI,15564.31,18/8/16,232944,1041.58
T214,C1019858,7/1/1994,M,MUMBAI,10594.82,8/8/16,130138,817.47
T215,C1006564,27/9/1968,M,KOLKATA,21030.23,8/9/16,121022,1563.54
T216,C1026281,28/11/1987,F,NEW DELHI,18455.99,4/8/16,183117,62.73
T217,C1008670,22/12/1987,M,NEW DELHI,7066.77,20/10/16,11434,1067.80
T218,C1041802,28/4/1987,M,BANGALORE,3649.93,25/9/16,221935,933.95
T219,C1049206,16/8/1980,F,NEW DELHI,10387.94,13/8/16,200558,411.17
T220,C1024544,1/1/1800,M,GURGAON,6475.34,13/8/16,174518,1187.13
T221,C1007300,25/3/1961,M,NEW DELHI,5798.17,14/9/16,103518,270.71
T222,C1045653,1/1/1800,M,CHENNAI,6228.97,25/8/16,124410,4203.51
T223,C1038881,11/1/1955,F,HYDERABAD,10104.95,20/10/16,234101,313.64
T224,C1003696,24/8/1973,M,NEW DELHI,51687.94,8/9/16,220915,660.28
T225,C1042786,2/12/1981,M,KOLKATA,120363.19,12/9/16,53213,165.95
T226,C1004095,28/11/1997,M,BANGALORE,213658.71,19/9/16,172059,140.97
T227,C1017047,27/6/1955,M,MUMBAI,14334.12,7/8/16,115854,66.93
T228,C1022048,12/1/1981,F,BANGALORE,10158.20,15/9/16,10238,91.31
T229,C1038341,5/5/1974,M,NEW DELHI,14470.16,6/8/16,40326,3148.49
T230,C1048742,2/10/1956,M, KOLKATA ,27248.06,22/9/16,105144,523.17
T231,C1036705,,F,BANGALORE,10504.86,28/10/16,12916,2283.95
T232,C1031035,22/11/1953,M,HYDERABAD,12688.82,12/10/16,121120,224.47
T233,C1002522,28/2/1974,M,MUMBAI,14707.73,23/10/16,184717,523.23
T234,C1012294,1/1/1975,F,NEW DELHI,14671.05,13/10/16,223227,126.71
T235,C1000300,18/6/1966,,THANE,62091.97,31/10/16,190206,94.99
T236,C1003409,22/1/1971,M,THANE,23038.76,5/8/16,34617,180.75
T237,C1000443,26/10/1993,M, INDORE ,7355.61,9/9/16,82304,2743.32
T238,C1026624,21/2/1962,M,NEW DELHI,8864.11,22/8/16,4407,250.83
T239,C1011290,11/9/1962,F,CHENNAI,10707.61,7/8/16,74133,379.25
T240,C1028339,19/4/1960,M,NEW DELHI,9716.78,7/10/16,2746,1060.42
T241,C1020854,8/10/1969,F,PUNE,4690.30,30/8/16,74314,5997.29
T242,C1040994,18/7/1998,F,BANGALORE,10985.16,4/10/16,142045,605.98
T243,C1040086,23/10/1995,M, AHMEDABAD ,6617.94,30/9/16,14904,122.22
T244,C1003349,7/7/1994,F,HYDERABAD,4580.57,1/9/16,183415,2021.07
T245,C1011183,6/11/1978,M,NEW DELHI,62653.55,11/8/16,204217,223.55
T246,C1047651,24/12/1985,F,MUMBAI,6356.67,8/9/16,203916,17.78
T247,C1020608,5/1/1973,M,BANGALORE,14716.59,1/8/16,202909,2882.52
T248,C1026554,10/9/1971,M,SURAT,21210.91,5/8/16,115814,388.72
T249,C1008809,4/11/1987,M,AHMEDABAD,2643.75,5/8/16,165207,1071.24
T250,C1006486,27/9/1951,M,BANGALORE,43768.14,22/10/16,185043,39.24
T251,C1034142,11/2/1956,F,AHMEDABAD,10500.74,9/9/16,23903,1929.59
T252,C1037112,3/6/1996,F,MUMBAI,27519.71,30/9/16,220209,1556.89
T253,C1029656,6/12/1977,M,MUMBAI,4917.57,27/9/16,142709,1459.87
T254,C1012748,5/4/1979,F,CHENNAI,6963.98,26/9/16,185647,259.57
T255,C1023703,19/8/1982,F,HYDERABAD,712.85,7/10/16,25333,743.71
T256,C1039730,23/5/1985,M,pune,11553.34,28/8/16,103433,601.26
T257,C1035318,1/1/1800,M,BANGALORE,21330.64,24/8/16,175043,1044.81
T258,C1017525,1/1/1800,F,NEW DELHI,33012.55,7/8/16,225236,1292.50
T259,C1008994,4/8/1961,M,BANGALORE,14856.40,3/10/16,230206,1051.23
T260,C1042995,8/4/1960,M,INDORE,11550.94,28/9/16,3753,139.20
T261,C1036337,4/1/1998,M,PUNE,89910.59,27/9/16,13304,156.07
T262,C1000743,4/4/1986,M,CHENNAI,108051.26,22/9/16,84022,642.15
T263,C1019556,20/12/1953,M,HYDERABAD,100356.03,16/9/16,185917,175.26
T264,C1041462,2/6/1988,F,THANE,6945.10,26/8/16,122048,2442.57
T265,C1003376,23/8/1953,M,HYDERABAD,27645.00,15/8/16,13714,264.57
T266,C1024930,5/6/1972,M,MUMBAI,39328.31,31/10/16,83336,404.20
T267,C1015164,21/11/1977,M,INDORE,48863.32,5/10/16,180052,279.10
T268,C1036379,26/5/1984,F,NOIDA,20318.22,8/9/16,35937,742.80
T269,C1048500,24/3/1972,M,MUMBAI,15838.81,13/9/16,35241,1583.95
T270,C1013495,1/1/1800,M,CHENNAI,48957.77,6/10/16,215341,406.99
T271,C1038500,16/2/1960,M,MUMBAI,10488.05,31/8/16,74625,1456.61
T272,C1025076,15/4/1990,M,AHMEDABAD,9758.90,14/10/16,143137,1148.80
T273,C1008875,1/8/1957,M,PUNE,90442.21,6/9/16,85206,379.10
T274,C1030248,1/1/1800,F,BANGALORE,62926.23,11/9/16,202054,166.85
T275,C1048269,21/7/1984,M,KOLKATA,8533.21,12/8/16,204415,946.37
T276,C1043827,27/9/1962,M,HYDERABAD,6141.84,1/10/16,10452,475.22
T277,C1049392,15/3/1975,F,BANGALORE,11847.13,24/10/16,23146,700.98
T278,C1011946,7/2/1966,M,MUMBAI,33476.68,16/8/16,14512,3894.09
T279,C1040932,10/10/1965,M,MUMBAI,5399.21,5/9/16,140100,2019.59
T280,C1028671,3/12/1962,M,NEW DELHI,74360.02,11/8/16,170529,876.37
T281,C1027011,16/9/1967,M,SURAT,6921.94,23/9/16,35126,547.63
T282,C1028600,4/8/1959,M,new delhi,2409.02,19/8/16,30147,320.63
T283,C1033261,1/12/1977,M,PUNE,6282.73,1/9/16,152210,304.41
T284,C1034086,17/11/1957,M,CHENNAI,43644.70,31/8/16,102656,3459.04
T285,C1001817,25/4/1984,M,AHMEDABAD,7674.55,8/9/16,40015,98.94
T286,C1028573,20/11/1958,M,CHENNAI,14835.38,14/10/16,113745,1463.42
T287,C1007977,26/7/1961,M,NEW DELHI,8967.94,14/10/16,95315,82.95
T288,C1032924,5/1/1955,M,AHMEDABAD,49913.21,13/10/16,62713,131.52
T289,C1048470,25/2/1965,M,NEW DELHI,25948.67,5/8/16,204910,847.25
T290,C1002429,17/5/1956,,BANGALORE,7688.89,25/9/16,75646,327.82
T291,C1027411,10/8/1951,M,BANGALORE,22691.90,18/10/16,234621,2689.08
T292,C1036267,15/10/1960,M,KOLKATA,228633.00,17/10/16,191824,9070.33
T293,C1017214,3/1/1971,M,MUMBAI,8855.10,19/9/16,82022,40.96
T294,C1032594,15/4/1985,F,MUMBAI,13724.00,6/9/16,205849,391.31
T295,C1019075,27/10/1975,M,PATNA,41205.84,11/8/16,123553,2787.36
T296,C1044993,1/5/1973,M,HYDERABAD,7774.70,15/10/16,35636,309.52
T297,C1006227,16/11/1994,F,PUNE,65252.36,10/8/16,134233,121.07
T298,C1021161,18/3/1990,M,CHENNAI,28564.18,1/8/16,171418,761.38
T299,C1040123,27/6/1951,F,NEW DELHI,4734.63,3/10/16,204326,86.01
T300,C1037425,10/1/1977,M,BANGALORE,5894.81,24/8/16,143717,546.44
T301,C1043941,1/1/1800,M,NEW DELHI,23704.57,6/9/16,182952,67.28
T302,C1014387,26/3/1951,F,NOIDA,73273.44,13/9/16,100016,376.06
T303,C1039550,24/1/1958,M,NEW DELHI,27178.14,27/9/16,131331,321.17
T304,C1028112,1/1/1800,M,BANGALORE,52448.35,2/10/16,225546,5501.11
T305,C1012475,28/9/1958,M,GURGAON,3660.49,30/8/16,12841,484.70
T306,C1016024,24/1/1995,M,HYDERABAD,8901.61,13/8/16,81918,536.14
T307,C1026447,7/12/1986,M,HYDERABAD,11183.95,31/8/16,62644,158.56
T308,C1037227,13/7/1976,F,MUMBAI,13397.73,22/8/16,40243,76.00
T309,C1043016,19/5/1958,M,NEW DELHI,6897.54,23/10/16,94951,3197.23
T310,C1034371,27/11/1965,M,KOLKATA,20523.21,30/9/16,111023,8.30
T311,C1030254,14/2/1960,M,MUMBAI,10309.14,23/9/16,210523,44.13
T312,C1024999,1/1/1800,M,KOLKATA,6119.87,27/10/16,172945,477.17
T313,C1037364,25/2/1960,M,KOLKATA,11401.46,12/8/16,2308,683.61
T314,C1017848,24/3/1954,M,MUMBAI,3412.84,2/8/16,223342,831.89
T315,C1045962,4/12/1957,F,CHENNAI,11089.63,16/8/16,140433,271.19
T316,C1020771,14/11/1995,M,PUNE,10711.61,4/8/16,161100,154.81
T317,C1035170,14/2/1966,M,JAIPUR,15707.83,10/10/16,4441,119.34
T318,C1009992,1/1/1800,M,CHENNAI,8486.40,23/10/16,184245,397.91
T319,C1035474,28/5/1996,M,GURGAON,40211.85,24/9/16,70746,69.91
T320,C1006778,18/12/1976,M,GURGAON,22289.20,15/10/16,45050,440.78
T321,C1036318,18/1/1985,F, NEW DELHI ,63224.05,17/8/16,20218,2285.11
T322,C1031122,4/1/1997,F,CHENNAI,59469.23,2/9/16,172042,110.17
T323,C1028379,26/10/1963,M,GURGAON,2993.93,25/10/16,104104,886.39
T324,C1038669,4/5/1953,F,NEW DELHI,22167.06,13/9/16,21854,1158.73
T325,C1019909,12/7/1984,M,GURGAON,3605.62,18/10/16,121332,292.99
T326,C1007651,22/12/1991,M,BANGALORE,23133.94,18/10/16,202409,2019.05
T327,C1019245,4/11/1978,M,MUMBAI,17642.81,13/9/16,45901,52.34
T328,C1029659,13/6/1963,M, MUMBAI ,202062.91,2/8/16,184347,906.40
T329,C1038166,14/9/1976,M,AHMEDABAD,32030.98,18/9/16,32921,241.85
T330,C1037175,12/10/1977,M,BANGALORE,14492.89,23/10/16,154449,330.12
